external_index,source_table,row_index,name,D,P,canonical_smiles,heavy_atoms,mol_wt,pred__cat_rank,pred__cat_raw,pred__lgbm_normal,pred__lgbm_rank,pred__lgbm_raw,pred__xgb_rank,pred__xgb_raw,P_pred__single_lgbm_raw,pred__vector_mu,score__cat_rank,score__cat_raw,score__lgbm_normal,score__lgbm_rank,score__lgbm_raw,score__xgb_rank,score__xgb_raw,score__vector_mu,D_score__final_eight_member,D_rank_desc,P_rank_desc,D_score__recomputed_subset
75,official_train,80,bromobenzene,1.83,91.12,Brc1ccccc1,7,157.01,0.3027657724467492,2.3089474530131664,-0.6590740326739513,0.2323854425220743,2.2340727338156823,0.24798371,-0.44736236,86.18599725546173,2.0776028633117676,0.5307262569832403,0.553072625698324,0.547486033519553,0.4581005586592179,0.5307262569832403,0.4860335195530726,0.547486033519553,0.5977653631284916,0.5369378770949721,80,58,0.5593514285714285
215,official_train,227,2-Propynoic acid,1.754376,39.771333,C#CC(=O)O,5,70.047,0.1712649441395847,1.714279793463627,-1.019228399373529,0.1984543632163538,1.806404002249536,0.17420082,-0.9064293,36.39133324881716,2.080540180206299,0.2346368715083799,0.2625698324022346,0.3240223463687151,0.3407821229050279,0.3575418994413408,0.2737430167597765,0.3575418994413408,0.6033519553072626,0.4375284916201117,95,161,0.4529977142857143
151,official_train,159,(E)-2-Butenenitrile,4.889,54.02891429,C/C=C/C#N,5,67.09100000000001,0.8359265021434688,4.722307868685894,1.1168352989341397,0.8637501387907153,4.892760190495447,0.85372114,2.1114645,52.226492414285275,4.740975856781006,0.9553072625698324,0.9329608938547486,0.9385474860335196,0.9664804469273744,0.9329608938547486,0.988826815642458,0.9385474860335196,0.9162011173184358,0.9469356424581006,8,126,0.9867845714285713
167,official_train,175,Crotonic Acid,2.993,57.87139631,C/C=C/C(=O)O,6,86.08999999999999,0.3230059525322494,2.3209646093195917,-0.4668112404801507,0.3110455818215951,2.280746594964773,0.27570623,-0.45855367,54.96374601929176,1.8985999822616575,0.553072625698324,0.5642458100558659,0.5977653631284916,0.5586592178770949,0.5418994413407822,0.5307262569832403,0.5363128491620112,0.5195530726256983,0.5319378770949721,83,120,0.5624297142857143
155,official_train,163,1-chloro-1-propene(Z),1.844,48.39678311,C/C=C\Cl,4,76.52600000000001,0.1622697411682905,1.6792231095643917,-1.0728752408187774,0.1404048697043192,1.6326134185599075,0.13744548,-1.1291585,48.926504837193825,2.2162320613861084,0.1955307262569832,0.2402234636871508,0.2849162011173184,0.2011173184357542,0.2402234636871508,0.1731843575418994,0.2402234636871508,0.6312849162011173,0.3823282681564245,112,134,0.3887008571428571
183,official_train,193,"Thiophene, 2,3-dihydro-",1.719,63.8591629,C1=CSCC1,5,86.159,0.1926806833225802,1.869489670387917,-1.0055337112414031,0.1632805945557328,1.741456777477502,0.16618407,-1.0056887,61.76148601779041,1.5658771991729736,0.3351955307262569,0.3575418994413408,0.3463687150837989,0.2458100558659217,0.2960893854748603,0.2458100558659217,0.2960893854748603,0.441340782122905,0.3359843575418994,125,108,0.34276799999999996
182,official_train,192,Pyrrolidine,1.038,54.10989389,C1CCNC1,5,71.123,0.1122695402680756,1.379366601274956,-1.3930254777656697,0.1539581790722166,1.3439212953588655,0.12215673,-1.3944714,53.474620589053835,1.6674357652664185,0.1508379888268156,0.1620111731843575,0.1787709497206704,0.2234636871508379,0.1731843575418994,0.1284916201117318,0.1787709497206704,0.4581005586592179,0.2927821229050279,135,122,0.28943828571428576
103,official_train,108,piperidine,1.19,67.938,C1CCNCC1,6,85.15,0.0929307387191201,1.177298512864235,-1.4776988626798266,0.1321098594402341,1.338863158960366,0.14313701,-1.3904246,65.60408299359524,0.6335832476615906,0.1229050279329608,0.1117318435754189,0.1396648044692737,0.1787709497206704,0.1675977653631284,0.1955307262569832,0.1843575418994413,0.2011173184357542,0.1931988826815642,148,100,0.19250342857142855
299,official_test,41,Acetone enol,0.605,42.14515799,C=C(C)O,4,58.08,0.1947956764721889,1.720175610731206,-1.134887345750222,0.2187885945433225,1.8805863576052384,0.23489715,-0.83200806,41.501212041538935,1.5557358264923096,0.3407821229050279,0.2793296089385474,0.2569832402234637,0.4022346368715084,0.4189944134078212,0.4581005586592179,0.4022346368715084,0.435754189944134,0.430486033519553,97,154,0.44404685714285713
313,official_test,55,1-Bromo-1-fluoroethylene,1.451074,43.933,C=C(F)Br,4,124.94,0.1642482548551047,1.7527971750298308,-1.0417469379871616,0.1648895044631637,1.6593380904302946,0.14024594,-1.1981568,41.46458361854323,1.331911325454712,0.2122905027932961,0.2905027932960894,0.2960893854748603,0.2513966480446927,0.2513966480446927,0.1843575418994413,0.2234636871508379,0.3687150837988827,0.2804663687150838,139,155,0.27970685714285715
