standard_name,canonical_smiles,D_rank_final78,P_rank_final78,qD,qP,pareto
乙二醇二丁醚（EGBE）,CCCCOCCOCCCC,65,1,0.16883116883116883,1.0,True
三乙二醇二甲醚(TRIGLYME),COCCOCCOCCOC,48,2,0.38961038961038963,0.987012987012987,True
三(2，2，2-三氟乙基)磷酸酯(TFEP),O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,46,3,0.4155844155844156,0.974025974025974,True
Triethyl phosphate,CCOP(=O)(OCC)OCC,38,4,0.5194805194805194,0.961038961038961,True
"3,3,3-三氟丙基甲基二甲氧基硅（DMOTFS)",CO[Si](C)(CCC(F)(F)F)OC,31,5,0.6103896103896104,0.948051948051948,True
二甲基二乙氧基硅烷（DMS）,CCO[Si](C)(C)OCC,71,6,0.09090909090909091,0.935064935064935,False
(2-氟乙氧基)三甲基硅烷（MFS）,C[Si](C)(C)OCCF,36,7,0.5454545454545454,0.922077922077922,False
二乙二醇二甲醚(DIGLYME),COCCOCCOC,62,8,0.2077922077922078,0.9090909090909091,False
乙二醇二乙醚,CCOCCOCC,69,9,0.11688311688311688,0.8961038961038961,False
"1,4-Dimethoxybutane",COCCCCOC,49,10,0.37662337662337664,0.8831168831168831,False
正丙醚（DPE）,CCCOCCC,63,11,0.19480519480519481,0.8701298701298701,False
Ethyl butyrate,CCCC(=O)OCC,50,12,0.36363636363636365,0.8571428571428571,False
碳酸二乙酯(DEC),CCOC(=O)OCC,75,13,0.03896103896103896,0.8441558441558441,False
乙二醇甲醚二氟乙醚（DMEE）,COCCOCC(F)F,24,14,0.7012987012987013,0.8311688311688312,True
"1,2-Dimethoxypropane",COCC(C)OC,61,15,0.22077922077922077,0.8181818181818182,False
Allyl methyl carbonate,C=CCOC(=O)OC,73,16,0.06493506493506493,0.8051948051948052,False
磷酸三甲酯(TMP),COP(=O)(OC)OC,41,17,0.4805194805194805,0.7922077922077922,False
"N,N-二甲基三氟甲磺酰胺(DMTMSA)",CN(C)S(=O)(=O)C(F)(F)F,4,18,0.961038961038961,0.7792207792207793,True
"1,1,1-三氟-2-(2-甲氧基乙氧基)乙烷（TFEE）",COCCOCC(F)(F)F,25,19,0.6883116883116883,0.7662337662337663,False
Dimethyl methylphosphonate,COP(C)(=O)OC,35,20,0.5584415584415584,0.7532467532467533,False
1，1，2，2-四氟乙基-2，2，3，3-四氟丙基醚（TFE）,FC(F)C(F)(F)COC(F)(F)C(F)F,37,21,0.5324675324675324,0.7402597402597403,False
氟磺酰基二氟乙酸甲酯（MDFSA）,COC(=O)C(F)(F)S(=O)(=O)F,9,22,0.8961038961038961,0.7272727272727273,False
1-Methoxybutane,CCCCOC,68,23,0.12987012987012986,0.7142857142857143,False
1-Methoxy-2-methylpropane,COCC(C)C,67,24,0.14285714285714285,0.7012987012987013,False
六氟苯（HFB）,Fc1c(F)c(F)c(F)c(F)c1F,77,25,0.012987012987012988,0.6883116883116883,False
Methyl butyrate,CCCC(=O)OC,56,26,0.2857142857142857,0.6753246753246753,False
N-Methyl-2-pyrrolidone,CN1CCCC1=O,12,27,0.8571428571428571,0.6623376623376623,False
Methyl tert-butyl ether,COC(C)(C)C,64,28,0.18181818181818182,0.6493506493506493,False
2-Methoxytetrahydrofuran,COC1CCCO1,66,29,0.15584415584415584,0.6363636363636364,False
