feature,family,mean_abs_weighted_shap,mean_weighted_shap,importance_fraction
mc3__xtb_mc3_xtb_full_dipole_debye_mean,Three-conformer xTB,0.21914356542914915,0.034101625436094095,0.0897842311589805
cheap__v3__rd2d_fr_nitrile,2D descriptors,0.08838148438233773,-0.02437554850583503,0.036210342787925336
atom3d__full_mu_mean,Atom-resolved 3D,0.08432470704474601,0.012262124402031057,0.034548260519958365
cheap__v4__v4_mmffq3d_dipole_norm_lowE,2D descriptors,0.07459910067501764,-0.002081586345613426,0.03056363022177487
mc3__xtb_mc3_xtb_direct_charge_dipole_norm_mean,Three-conformer xTB,0.054852863897278184,0.0043844349370672645,0.022473496779341153
single__xtb_direct_charge_dipole_norm,Single-conformer xTB,0.04745586494469077,0.0031590205146182233,0.019442908760289482
single__xtb_full_dipole_debye,Single-conformer xTB,0.04341692595177228,-0.001341165734376365,0.017788134952685008
mc3__xtb_mc3_xtb_full_dipole_debye_min,Three-conformer xTB,0.043398491809103976,-0.002861020325853329,0.017780582390859577
mc3__xtb_mc3_xtb_full_dipole_debye_max,Three-conformer xTB,0.03931299984786472,0.00817901467009551,0.016106735595824862
cheap__v3__rd3d_getaway_264,2D descriptors,0.03153909851013969,0.00256921269389221,0.012921728756374345
mc3__xtb_mc3_xtb_full_dipole_debye_lowe,Three-conformer xTB,0.030341811305732568,0.0029208614340028565,0.01243119411113543
cheap__v5__v5_mmffq_rbin0_heavy_abs_qprod,2D descriptors,0.027290824509104923,-0.004503350316484146,0.01118118933333155
atom3d__full_vector_resultant,Atom-resolved 3D,0.026160976605591142,0.0029419441750188897,0.010718284911999736
cheap__v5__v5_gast_rbin0_heavy_abs_qprod,2D descriptors,0.021202322252312923,-0.001166384228393839,0.00868669905265514
derived__mu_per_mw,Dipole-derived,0.02109225205119567,0.0002003577780023186,0.008641602732526033
cheap__v3__gast3d_dipole_norm,2D descriptors,0.019977584290030003,-0.001301028442918974,0.008184917692570716
mc3__xtb_mc3_xtb_direct_charge_dipole_norm_min,Three-conformer xTB,0.019111368827408035,-0.0005752803191953061,0.00783002482050654
cheap__v4__v4_mmffq3d_dipole_norm_max,2D descriptors,0.01719145726383589,-0.00042101901682270167,0.007043427307177809
mc3__xtb_mc3_xtb_direct_charge_dipole_norm_lowe,Three-conformer xTB,0.015369948187988038,0.0012863505365469684,0.006297145792574181
cheap__v3__rd3d_autocorr2d_142,2D descriptors,0.014536356071829938,0.001255539904560621,0.005955618871156815
atom3d__full_mu_boltz,Atom-resolved 3D,0.013491678924313856,0.001105615727605523,0.005527609340895644
cheap__v3__rd2d_TPSA,2D descriptors,0.013360790666708,-0.00101700515151641,0.005473983757347859
atom3d__full_mu_max,Atom-resolved 3D,0.01229656155670147,0.003252765586648428,0.005037963688805921
cheap__v3__rd3d_autocorr2d_148,2D descriptors,0.012276538797724088,-0.0037513102131490604,0.005029760262814629
cheap__v3__rd2d_MaxAbsEStateIndex,2D descriptors,0.01226600095431481,-0.0001804937388752629,0.005025442854878316
cheap__v3__rd2d_MinAbsPartialCharge,2D descriptors,0.011378219907095886,-0.0030630822594582235,0.004661714453334917
cheap__v4__v4_mmffq_q_max,2D descriptors,0.01132097094666666,0.0013668706362854036,0.004638259263643523
atom3d__charge_dipole_ea_mean,Atom-resolved 3D,0.010211152197376089,0.0003951756222942198,0.00418356088846768
cheap__v3__rd2d_PEOE_VSA2,2D descriptors,0.010161272440430873,0.0002978715696965513,0.004163124898850769
cheap__v3__rd3d_autocorr2d_186,2D descriptors,0.010144920945255586,0.0006601701566353782,0.004156425608275032
atom3d__charge_dipole_ea_boltz,Atom-resolved 3D,0.009650841957564061,-0.0005848022821516236,0.003953998939005415
cheap__v3__rd2d_fr_C_O_noCOO,2D descriptors,0.009621241544397252,-0.00028634809023251397,0.003941871499475235
cheap__v3__rd3d_autocorr2d_119,2D descriptors,0.009126687472386213,0.0002922476501917417,0.0037392501857483208
cheap__v3__rd2d_VSA_EState2,2D descriptors,0.008577078597090533,-0.0012957455707039414,0.0035140726396499906
cheap__v3__rd3d_autocorr2d_141,2D descriptors,0.00846383559795853,-0.0007811377077286588,0.0034676764080686837
cheap__v3__rd2d_BertzCT,2D descriptors,0.00829905729739182,-0.0013396205744229787,0.003400165901889352
atom3d__full_mu_min,Atom-resolved 3D,0.00798732353444156,-0.0005261559040092731,0.003272446996805488
cheap__v3__rd3d_autocorr2d_117,2D descriptors,0.0077604149033687194,0.0009071683882281495,0.003179481378835754
single__xtb_quad_frobenius,Single-conformer xTB,0.007638351680363462,0.0007537029640911737,0.0031294714567609142
cheap__v5__v5_mmffq_rbin6_heavy_abs_qprod,2D descriptors,0.007446536334188345,-0.0006496642688931501,0.003050883735752083
cheap__v3__rd3d_autocorr2d_118,2D descriptors,0.0073803847578826605,0.0007779323669510934,0.0030237810991452113
cheap__v5__v5_mmffq_pair_absq_dist_max,2D descriptors,0.007003630076723417,0.00018870378776854115,0.002869422793816069
mc3__xtb_mc3_xtb_direct_charge_dipole_norm_max,Three-conformer xTB,0.006997545470944517,0.0028526484128234223,0.0028669298999421636
cheap__v3__rd3d_autocorr2d_184,2D descriptors,0.006872440669385913,0.0001801563239704935,0.00281567382769455
cheap__v3__gast3d_dipole_per_heavy_atom,2D descriptors,0.006861225859162218,2.795422287237198e-05,0.0028110790630179947
