,MW,O count,F count,Rings,Rot. bonds,TPSA,logP,Δq Gasteiger,Radius gyr.,xTB μ,xTB α,SD μ (3 conf.),Atom-resolved μq
MW,1.0,0.27769725328115386,0.02125742179315778,0.022028487445447845,0.3088904016390096,0.08442859298865973,0.12011338332176572,0.13258610667400308,0.4500515226046491,0.040594109895975734,0.5812120446505789,0.16974765034616854,0.07239465581467464
O count,0.27769725328115386,1.0,-0.2846267925848518,-0.010135189185208775,0.2811638047237118,0.4220811501058867,-0.4460831436457341,0.5160610340327942,0.06910743717327777,0.01205510399547514,-0.07058526138584757,0.2495531575958715,0.050423333503271765
F count,0.02125742179315778,-0.2846267925848518,1.0,-0.15559472682524447,-0.17218699589429232,-0.256090245536596,0.24790261498682367,0.03748302637122862,-0.23605297779569318,-0.08731368579834664,-0.3319367298595155,-0.12982283107465142,-0.024690875532901817
Rings,0.022028487445447848,-0.010135189185208775,-0.15559472682524447,1.0,-0.35797538780726945,-0.03155763693199021,-0.023333445746476524,-0.06338712338634564,-0.09160486661780416,0.005621607321786527,0.14273909225623735,-0.13353090945382354,0.007885905050181424
Rot. bonds,0.3088904016390096,0.2811638047237118,-0.17218699589429232,-0.35797538780726945,0.9999999999999998,0.09993832693511748,-0.020129449020234075,-0.019483125426625357,0.5367309930427908,-0.052626147484050784,0.31604505561226676,0.31593200929628146,-0.08394006927182007
TPSA,0.08442859298865973,0.4220811501058867,-0.256090245536596,-0.03155763693199021,0.09993832693511748,0.9999999999999998,-0.7370175408085368,0.41374816522318997,0.08219178445169091,0.2930009407549544,-0.16697062681342045,0.3203599830188393,0.22150610982407598
logP,0.12011338332176572,-0.44608314364573404,0.24790261498682362,-0.023333445746476524,-0.020129449020234072,-0.7370175408085368,1.0,-0.3203936666987012,0.09808673980923756,-0.18704983806945058,0.34980815169477786,-0.27696613043593743,-0.1455704737699895
Δq Gasteiger,0.13258610667400308,0.5160610340327942,0.03748302637122862,-0.06338712338634565,-0.019483125426625357,0.41374816522318997,-0.32039366669870123,1.0,-0.0528280836339042,0.1184255120928083,-0.23544607624021485,0.03637033274280926,0.1804044394525706
Radius gyr.,0.45005152260464915,0.06910743717327776,-0.23605297779569315,-0.09160486661780415,0.5367309930427908,0.08219178445169091,0.09808673980923756,-0.0528280836339042,1.0,0.07336404685197123,0.6362108593185861,0.16504512192893747,0.05725953821068133
xTB μ,0.040594109895975734,0.01205510399547514,-0.08731368579834664,0.005621607321786527,-0.05262614748405079,0.2930009407549545,-0.18704983806945058,0.11842551209280829,0.07336404685197125,1.0,0.017180618531253695,0.07787507576964076,0.6507042357168515
xTB α,0.5812120446505789,-0.07058526138584756,-0.3319367298595155,0.14273909225623735,0.31604505561226676,-0.16697062681342048,0.34980815169477786,-0.23544607624021485,0.6362108593185861,0.017180618531253695,1.0,0.05645424573150412,0.022087683190242402
SD μ (3 conf.),0.16974765034616854,0.2495531575958715,-0.12982283107465142,-0.13353090945382354,0.31593200929628146,0.3203599830188393,-0.27696613043593743,0.03637033274280926,0.16504512192893747,0.07787507576964077,0.05645424573150412,1.0,-0.06548700935075766
Atom-resolved μq,0.07239465581467464,0.05042333350327177,-0.024690875532901817,0.007885905050181424,-0.08394006927182009,0.22150610982407595,-0.1455704737699895,0.1804044394525706,0.05725953821068133,0.6507042357168515,0.0220876831902424,-0.06548700935075766,1.0
