latent_1,latent_2,group,domain_index,candidate_id
0.97371376,0.80564815,Development,1.0,
0.9328447,0.73851544,Development,2.0,
0.75014675,0.8050223,Development,4.0,
0.4697641,0.40225154,Development,5.0,
0.641376,0.36917025,Development,6.0,
0.6763586,0.6176451,Development,7.0,
0.65631723,0.7331127,Development,8.0,
0.35402542,0.34519553,Development,9.0,
0.44146907,0.7144022,Development,10.0,
0.8764964,1.1652358,Development,11.0,
1.078744,1.7144722,Development,12.0,
0.92963004,1.354531,Development,13.0,
0.72874147,1.1299131,Development,14.0,
0.64812183,1.0174555,Development,15.0,
0.64704895,1.0363345,Development,16.0,
0.93066114,0.7993149,Development,17.0,
1.0433817,1.2662648,Development,18.0,
0.9515511,1.4541111,Development,19.0,
0.8155067,0.9538194,Development,20.0,
0.98181987,1.4513463,Development,22.0,
1.0171393,1.5326475,Development,24.0,
0.9765831,1.4780333,Development,25.0,
0.99915504,1.4627788,Development,26.0,
1.020871,1.4140384,Development,27.0,
0.5766094,0.9680684,Development,28.0,
0.9488961,1.3465648,Development,29.0,
0.60638165,0.9959261,Development,30.0,
0.94908905,1.4010891,Development,31.0,
0.94407785,1.3968365,Development,32.0,
0.9809598,1.4027551,Development,33.0,
0.94390833,1.4394596,Development,34.0,
1.0719,1.557169,Development,35.0,
0.91885245,1.3763574,Development,36.0,
0.9892478,1.3896737,Development,37.0,
0.9415588,1.2582259,Development,38.0,
0.68121403,1.0271531,Development,39.0,
1.0006268,1.2967541,Development,41.0,
0.83694947,1.2064041,Development,43.0,
0.8937864,1.282779,Development,44.0,
0.70750916,0.9050473,Development,45.0,
0.6841662,0.89579034,Development,47.0,
0.9258946,1.3572811,Development,48.0,
0.83102465,0.61636347,Development,49.0,
1.0419264,1.2333765,Development,50.0,
0.7383907,0.87665105,Development,51.0,
0.6898656,0.74914724,Development,52.0,
0.9686263,1.1659596,Development,53.0,
0.7352438,0.88883126,Development,55.0,
0.7544779,0.8518416,Development,56.0,
0.47654116,0.54801446,Development,57.0,
1.0401975,1.2579404,Development,58.0,
0.8186827,0.9824779,Development,59.0,
0.7344129,0.887214,Development,60.0,
1.0153462,1.2701013,Development,61.0,
0.96648633,1.1703551,Development,62.0,
0.7653315,0.8863653,Development,63.0,
1.0081397,1.2662313,Development,64.0,
0.892489,0.9000249,Development,65.0,
0.6469565,0.6688474,Development,66.0,
0.93852496,1.0638055,Development,67.0,
0.9454354,1.0803454,Development,68.0,
0.92131305,1.0430185,Development,69.0,
0.8801856,1.0272111,Development,70.0,
0.8734827,0.9949555,Development,72.0,
0.8527052,0.99084413,Development,73.0,
0.93418086,1.0746826,Development,74.0,
1.0671914,1.3937528,Development,75.0,
0.8450849,0.9384426,Development,76.0,
0.95307076,0.9019172,Development,77.0,
0.6443938,0.6582878,Development,78.0,
0.6510128,0.63586396,Development,79.0,
1.4884797,1.213073,Development,80.0,
0.8326249,0.9892707,Development,81.0,
0.6977835,0.7211392,Development,82.0,
0.83573705,0.9704445,Development,83.0,
0.80309355,0.92578566,Development,84.0,
0.82014453,0.93155736,Development,85.0,
1.101806,1.257983,Development,86.0,
0.918217,1.0881697,Development,87.0,
0.9713901,1.1543499,Development,88.0,
0.89438194,1.0174539,Development,89.0,
0.57249725,0.5716198,Development,90.0,
0.89082897,0.9295712,Development,92.0,
0.68521124,0.7112392,Development,93.0,
1.0907413,1.2431734,Development,94.0,
0.86646897,0.9142052,Development,95.0,
0.71170396,0.89795035,Development,96.0,
0.57644415,0.6341518,Development,97.0,
0.916649,1.0762897,Development,98.0,
0.71375316,0.7010441,Development,99.0,
0.63629013,0.76357937,Development,100.0,
0.4570288,0.50799733,Development,101.0,
0.6159022,0.7898733,Development,102.0,
0.8156176,0.9530766,Development,103.0,
0.9231428,1.0555716,Development,104.0,
0.94482386,1.0895396,Development,105.0,
0.92186433,1.0897696,Development,106.0,
0.34407157,-0.22331731,Development,107.0,
0.6575061,0.59394014,Development,108.0,
0.98516196,0.3296248,Development,109.0,
1.2722474,1.183478,Development,110.0,
1.2379866,0.98285294,Development,112.0,
0.79652077,0.56767505,Development,113.0,
1.2136167,1.0341849,Development,114.0,
1.2470666,0.97324264,Development,115.0,
1.3856547,1.2064337,Development,116.0,
1.2163812,0.78399515,Development,117.0,
1.2049979,0.7689605,Development,118.0,
1.2510114,0.7616664,Development,119.0,
1.1720699,0.7401741,Development,120.0,
1.2104588,0.7465114,Development,121.0,
1.1098771,0.64621085,Development,124.0,
1.2658008,0.82812005,Development,125.0,
1.2124605,0.80159473,Development,126.0,
0.796173,0.19786218,Development,129.0,
0.9350839,0.5410849,Development,130.0,
1.4304476,0.42433047,Development,132.0,
1.3888514,0.38181913,Development,133.0,
1.2433761,0.8226731,Development,135.0,
1.2247928,0.7697122,Development,136.0,
1.2167447,0.7595848,Development,137.0,
1.1908529,0.66450506,Development,138.0,
1.1385851,0.6631246,Development,139.0,
1.1264318,0.6419753,Development,140.0,
1.4069875,0.3908943,Development,141.0,
0.7739405,0.22552839,Development,142.0,
1.3584837,0.5003531,Development,143.0,
1.624637,0.24114338,Development,144.0,
1.0268612,0.3065547,Development,145.0,
1.0100665,0.28705698,Development,146.0,
1.0113697,0.4331841,Development,148.0,
1.1410632,0.15586759,Development,150.0,
1.3324459,0.45977384,Development,151.0,
0.98012334,0.22976117,Development,153.0,
1.0910978,0.49294478,Development,154.0,
0.5006624,-0.4280588,Development,157.0,
0.34023327,-0.28638807,Development,159.0,
1.2049979,0.7689605,Development,160.0,
1.1720699,0.7401741,Development,161.0,
1.120143,0.66533947,Development,162.0,
1.2049979,0.7689605,Development,163.0,
1.120143,0.66533947,Development,164.0,
0.4693343,0.6135137,Development,165.0,
0.9016932,0.7428533,Development,166.0,
0.7254546,0.9346519,Development,167.0,
0.59283966,0.72034436,Development,168.0,
0.78433985,0.95579344,Development,169.0,
0.66693485,0.7038912,Development,170.0,
0.5486127,0.64284575,Development,171.0,
0.6448397,0.776074,Development,172.0,
0.9754424,1.3172504,Development,173.0,
1.3223587,0.53149515,Development,174.0,
0.5836648,0.70800465,Development,177.0,
0.4860836,0.59506756,Development,179.0,
0.5224168,0.095140815,Development,180.0,
0.83573705,0.9704445,Development,181.0,
0.8801856,1.0272111,Development,182.0,
0.7647091,0.5483579,Development,183.0,
0.83573705,0.9704445,Development,184.0,
0.6608199,-0.42554152,Development,185.0,
1.6778721,-0.813835,Development,186.0,
1.3735962,-0.8215808,Development,187.0,
1.3158739,0.605756,Development,188.0,
0.9926361,-0.73742545,Development,189.0,
1.3694122,-0.79672533,Development,190.0,
0.5930946,-0.30009636,Development,191.0,
1.2776945,-0.24253556,Development,192.0,
0.6558962,-0.42932975,Development,193.0,
2.1152468,-1.0872302,Development,194.0,
2.2098157,-1.1309142,Development,195.0,
1.8590366,-1.1178421,Development,196.0,
1.6044828,-0.86094934,Development,197.0,
1.851228,-1.0712596,Development,198.0,
2.0610766,-1.2210082,Development,199.0,
1.6472702,-0.8914566,Development,200.0,
1.7871249,-1.1498715,Development,201.0,
1.733656,-0.9634058,Development,203.0,
2.16084,-0.26982644,Development,204.0,
2.2087398,-0.19518384,Development,205.0,
2.367343,0.071648985,Development,206.0,
1.8223684,-0.9717774,Development,207.0,
2.1309128,-1.3631225,Development,208.0,
1.8889154,-1.138988,Development,209.0,
2.177767,-1.384307,Development,210.0,
1.99894,-1.2173135,Development,211.0,
1.9666399,-1.2069082,Development,212.0,
2.0630977,-1.2963384,Development,213.0,
2.1722848,-1.3639414,Development,214.0,
1.6196249,-0.8584466,Development,215.0,
1.7000467,-1.0137613,Development,217.0,
1.8810233,-0.99370223,Development,218.0,
1.9261361,-1.0751947,Development,219.0,
2.1091087,-1.4007697,Development,220.0,
1.9056892,-1.1383812,Development,221.0,
1.9820471,-1.066964,Development,222.0,
2.2710884,-1.3962961,Development,223.0,
1.1866812,-0.72952324,Development,224.0,
1.4089231,-0.845609,Development,225.0,
1.5909266,-1.127652,Development,226.0,
1.2066858,-1.047911,Development,227.0,
1.50827,-0.4771095,Development,229.0,
1.4846836,-0.99698114,Development,230.0,
1.3227125,-0.18380181,Development,231.0,
1.319017,-0.12712984,Development,232.0,
1.4289005,-0.2185782,Development,233.0,
1.6261266,-0.45942092,Development,234.0,
1.2712115,-0.8485349,Development,236.0,
1.8341005,-1.1649494,Development,237.0,
1.8972414,-1.2647487,Development,238.0,
1.7698305,0.32589385,Development,239.0,
1.6991053,-0.8667258,Development,240.0,
1.5744885,-1.1152406,Development,241.0,
1.6852713,-0.7866676,Development,242.0,
1.2449079,-0.77600205,Development,243.0,
1.3857393,-0.86952835,Development,244.0,
1.7471592,-0.93039227,Development,245.0,
1.5548413,-1.14155,Development,246.0,
1.7687836,-0.873123,Development,247.0,
1.5979328,-1.052718,Development,248.0,
0.6876514,0.18235223,Development,250.0,
0.91158986,-0.76621246,Development,252.0,
1.5816493,-1.0939988,Development,253.0,
1.2281312,-1.0404855,Development,254.0,
1.1435375,-1.0219083,Development,255.0,
1.824948,-1.1243511,Development,256.0,
1.4900187,-1.1311334,Development,257.0,
1.6426013,0.16477743,Development,258.0,
1.441327,-1.2980376,Development,259.0,
1.9203575,-1.4782534,Development,260.0,
0.8927908,-0.73735154,Development,261.0,
1.2266958,0.285813,Development,262.0,
1.0963383,-0.05183042,Development,263.0,
1.2080392,0.030515844,Development,264.0,
1.4963206,0.0637126,Development,265.0,
1.5243118,0.42273936,Development,266.0,
1.4790976,0.38211656,Development,267.0,
1.4599729,0.4388242,Development,268.0,
1.4332703,0.38535163,Development,269.0,
1.9223952,0.021192594,Development,270.0,
1.8410419,-0.006483594,Development,271.0,
1.7262316,-0.19152413,Development,272.0,
1.3387039,0.22695465,Development,273.0,
1.5107152,0.018297348,Development,274.0,
1.3447832,1.2614983,Development,275.0,
1.2689506,1.0888051,Development,276.0,
1.3384659,1.0380793,Development,277.0,
1.4444984,1.2120775,Development,278.0,
1.6234733,1.0168488,Development,279.0,
1.7499204,1.167829,Development,280.0,
1.8112673,1.336916,Development,281.0,
1.6042106,0.6228771,Development,282.0,
1.7000394,-0.019084869,Development,284.0,
1.8145523,0.98186755,Development,285.0,
1.2609595,0.81505865,Development,286.0,
1.222228,0.789245,Development,287.0,
1.2932762,0.84171104,Development,288.0,
1.5849363,0.19963475,Development,289.0,
1.8150012,0.93397933,Development,290.0,
1.8572968,0.9914443,Development,291.0,
1.1771976,0.7052457,Development,292.0,
1.1824409,0.722256,Development,293.0,
1.9812791,1.2796642,Development,295.0,
1.6457748,0.73503727,Development,296.0,
1.4688594,1.085529,Development,297.0,
1.256327,0.7794283,Development,298.0,
