group,nearest_tanimoto,id
Evaluation,0.44444445,0
Evaluation,0.53846157,3
Evaluation,0.47826087,21
Evaluation,0.5,23
Evaluation,0.2857143,40
Evaluation,0.52380955,42
Evaluation,0.45454547,46
Evaluation,0.54545456,54
Evaluation,0.68421054,71
Evaluation,0.47058824,91
Evaluation,0.59090906,111
Evaluation,0.7,122
Evaluation,1.0,123
Evaluation,0.5263158,128
Evaluation,0.55,131
Evaluation,0.5,134
Evaluation,1.0,147
Evaluation,0.7894737,149
Evaluation,0.53846157,152
Evaluation,1.0,155
Evaluation,0.65217394,156
Evaluation,0.6363636,158
Evaluation,0.47826087,175
Evaluation,0.4,176
Evaluation,0.71428573,178
Evaluation,0.6818182,202
Evaluation,0.6,216
Evaluation,0.6666667,228
Evaluation,0.8333333,235
Evaluation,0.68,249
Evaluation,0.7894737,251
Evaluation,0.65217394,283
Evaluation,0.6666667,294
Evaluation,1.0,375
Evaluation,1.0,376
Evaluation,0.55,379
Evaluation,0.64,414
Evaluation,0.6666667,430
Evaluation,0.6296296,445
Evaluation,0.7083333,452
Evaluation,0.65217394,476
Evaluation,0.64,487
Evaluation,0.6666667,493
Evaluation,0.65217394,514
Evaluation,0.5833333,538
Evaluation,0.6296296,558
Evaluation,0.6666667,571
Evaluation,0.6666667,658
Evaluation,0.7083333,659
Evaluation,0.48,679
Evaluation,0.5263158,681
Evaluation,0.85,742
Evaluation,0.61538464,745
Evaluation,0.6666667,746
Evaluation,0.75,747
Evaluation,0.6296296,753
Evaluation,0.68,762
Evaluation,0.6,783
Evaluation,0.6296296,794
Evaluation,0.5714286,798
Evaluation,0.625,840
Evaluation,0.5217391,860
Evaluation,0.5862069,863
Evaluation,0.6363636,872
Evaluation,0.5652174,878
Evaluation,0.61538464,892
Evaluation,0.65217394,899
Evaluation,0.65217394,902
Evaluation,0.6551724,909
Evaluation,0.625,913
Evaluation,0.6296296,916
Evaluation,0.6551724,947
Evaluation,0.64285713,949
Evaluation,0.57894737,965
Evaluation,0.8,999
Evaluation,0.7,1003
Evaluation,0.64,1020
Evaluation,0.72727275,1044
Evaluation,0.71428573,1069
Evaluation,0.6666667,1093
Evaluation,0.5833333,1094
Evaluation,0.73913044,1118
Evaluation,0.73913044,1120
Evaluation,0.6956522,1161
Evaluation,0.7,1162
Evaluation,0.73913044,1171
Evaluation,0.625,1208
Evaluation,0.625,1244
Evaluation,0.625,1260
Evaluation,0.5263158,1311
Evaluation,0.6296296,1326
Evaluation,0.6666667,1360
Evaluation,0.61904764,1388
Evaluation,0.6315789,1396
Evaluation,0.61538464,1397
Evaluation,0.72727275,1475
Evaluation,0.6923077,1494
Evaluation,0.6296296,1496
Evaluation,0.6923077,1500
Evaluation,0.61538464,1519
