group,threshold,coverage
Evaluation,0.2,1.0
Evaluation,0.20500000000000002,1.0
Evaluation,0.21000000000000002,1.0
Evaluation,0.21500000000000002,0.99975
Evaluation,0.22,0.99975
Evaluation,0.225,0.99975
Evaluation,0.23,0.9995
Evaluation,0.23500000000000001,0.9995
Evaluation,0.24000000000000002,0.9995
Evaluation,0.245,0.9995
Evaluation,0.25,0.9995
Evaluation,0.255,0.99825
Evaluation,0.26,0.99825
Evaluation,0.265,0.99775
Evaluation,0.27,0.99775
Evaluation,0.275,0.9975
Evaluation,0.28,0.99675
Evaluation,0.28500000000000003,0.99675
Evaluation,0.29000000000000004,0.99575
Evaluation,0.29500000000000004,0.995
Evaluation,0.30000000000000004,0.99425
Evaluation,0.305,0.99325
Evaluation,0.31,0.99275
Evaluation,0.315,0.991
Evaluation,0.32,0.98875
Evaluation,0.325,0.988
Evaluation,0.33,0.988
Evaluation,0.335,0.9815
Evaluation,0.34,0.9815
Evaluation,0.345,0.98075
Evaluation,0.35,0.978
Evaluation,0.355,0.97325
Evaluation,0.36,0.971
Evaluation,0.365,0.96825
Evaluation,0.37,0.9655
Evaluation,0.375,0.964
Evaluation,0.38,0.959
Evaluation,0.385,0.9525
Evaluation,0.39,0.95075
Evaluation,0.395,0.948
Evaluation,0.4,0.948
Evaluation,0.405,0.94025
Evaluation,0.41000000000000003,0.93575
Evaluation,0.41500000000000004,0.9325
Evaluation,0.42000000000000004,0.92425
Evaluation,0.42500000000000004,0.91825
Evaluation,0.43000000000000005,0.91425
Evaluation,0.43500000000000005,0.91025
Evaluation,0.44,0.906
Evaluation,0.445,0.89225
Evaluation,0.45,0.89075
Evaluation,0.455,0.87975
Evaluation,0.46,0.875
Evaluation,0.465,0.8665
Evaluation,0.47000000000000003,0.861
Evaluation,0.47500000000000003,0.847
Evaluation,0.48000000000000004,0.837
Evaluation,0.48500000000000004,0.83125
Evaluation,0.49,0.83075
Evaluation,0.495,0.83075
Evaluation,0.5,0.83075
Evaluation,0.505,0.7725
Evaluation,0.51,0.7725
Evaluation,0.515,0.772
Evaluation,0.52,0.7635
Evaluation,0.525,0.743
Evaluation,0.53,0.72125
Evaluation,0.535,0.71525
Evaluation,0.54,0.69175
Evaluation,0.545,0.6855
Evaluation,0.55,0.67125
Evaluation,0.5549999999999999,0.66275
Evaluation,0.56,0.63725
Evaluation,0.565,0.626
Evaluation,0.5700000000000001,0.6115
Evaluation,0.575,0.58825
Evaluation,0.5800000000000001,0.5685
Evaluation,0.585,0.55
