domain_index,label,canonical_smiles,atom_index,element,charge_correction_norm,local_dipole_norm,total_correction_norm
37232,Cyclic carbonate,COC1COC(=O)OC1,0,C,0.10851005890509102,0.15078870001805797,0.05516006465330897
37232,Cyclic carbonate,COC1COC(=O)OC1,1,O,0.09859930060811811,0.12791562788853436,0.15396205904425106
37232,Cyclic carbonate,COC1COC(=O)OC1,2,C,0.013533404801746942,0.23075352529911883,0.2358924881507154
37232,Cyclic carbonate,COC1COC(=O)OC1,3,C,0.014247749347153652,0.13990256733930234,0.12986201372246495
37232,Cyclic carbonate,COC1COC(=O)OC1,4,O,0.23649193642067529,0.03576303632141617,0.2692188434210268
37232,Cyclic carbonate,COC1COC(=O)OC1,5,C,0.21953796541539003,0.6952371397159212,0.9144620833664355
37232,Cyclic carbonate,COC1COC(=O)OC1,6,O,0.8880787508945251,0.06339100714798311,0.9490499327842246
37232,Cyclic carbonate,COC1COC(=O)OC1,7,O,0.23787414224917486,0.05330121482130112,0.2600028467218853
37232,Cyclic carbonate,COC1COC(=O)OC1,8,C,0.025701819548295174,0.1259683557050766,0.10085441352404442
37232,Cyclic carbonate,COC1COC(=O)OC1,9,H,0.2014438983595147,0.12568962152498267,0.3156895309376094
37232,Cyclic carbonate,COC1COC(=O)OC1,10,H,0.14027953500433787,0.07430771395677672,0.1801749701088578
37232,Cyclic carbonate,COC1COC(=O)OC1,11,H,0.170915145455638,0.11036574999982464,0.2783894555323859
37232,Cyclic carbonate,COC1COC(=O)OC1,12,H,0.002078458723381038,0.21968260168387807,0.2213266131372687
37232,Cyclic carbonate,COC1COC(=O)OC1,13,H,0.07217298885139005,0.2076009893951088,0.2724300714562775
37232,Cyclic carbonate,COC1COC(=O)OC1,14,H,0.07196257814278176,0.21257061962923018,0.27616855525502654
37232,Cyclic carbonate,COC1COC(=O)OC1,15,H,0.07997631267088685,0.2614731548287896,0.33869240832251407
37232,Cyclic carbonate,COC1COC(=O)OC1,16,H,0.07853161031431569,0.25536765340955814,0.33144485518730876
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,0,C,0.10527917669860745,0.10000793539525293,0.08716351951431166
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,1,O,0.05089261387061427,0.5029465237728351,0.47539137001864445
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,2,C,0.04422934129755344,0.9172983158097907,0.9506509391067409
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,3,C,0.03921449482031127,0.3694009531178456,0.40422612788952655
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,4,S,0.03185651415712399,0.05517904221783148,0.058649676965585866
37290,Cyclic sulfone,COC1CS(=O)(=O)CC1O,5,O,0.7233066716718235,0.2310350371437933,0.9330571636207727
