domain_index,canonical_smiles,D,xtb_lowest_energy_mu,vector_mu,xtb_abs_error,vector_abs_error,absolute_error_gain
0,BrC(Br)(Br)C1CO1,2.0613320526617955,3.2820000648498535,1.9273759126663208,1.220668012188058,0.13395613999547473,1.0867118721925833
3,BrC1(Br)CCO1,3.663559479647896,4.916999816894531,3.122870445251465,1.2534403372466354,0.540689034396431,0.7127513028502044
21,BrC1=CCNO1,2.749952287498566,3.9790000915527344,3.0194342136383057,1.2290478040541686,0.26948192613973987,0.9595658779144287
23,BrC1=CCOC=C1,1.3562628946998407,2.871999979019165,1.0720466375350952,1.5157370843193243,0.2842162571647455,1.2315208271545788
40,BrC1=COOP=C1Br,0.955042679176114,1.9079999923706055,1.4091134071350098,0.9529573131944915,0.4540707279588958,0.4988865852355957
42,BrC1=CSCC1,1.5514473943247706,2.5320000648498535,1.880300998687744,0.9805526705250829,0.3288536043629733,0.6516990661621096
46,BrC1=NCOC1,0.9390838491891504,1.9119999408721924,1.029592752456665,0.9729160916830419,0.0905089032675146,0.8824071884155273
54,BrC1C=COCC1,2.2523282873137767,3.441999912261963,1.5032790899276731,1.1896716249481862,0.7490491973861035,0.4406224275620827
71,BrC1CCOC1,1.4231307746147273,2.812000036239624,1.6104159355163574,1.3888692616248968,0.18728516090163017,1.2015841007232666
91,BrC1CSC1,0.7283073685677272,1.6820000410079956,0.2055063992738723,0.9536926724402685,0.5228009692938549,0.43089170314641356
111,BrCC1=COC1,2.1849516728279186,3.296999931335449,1.4401257038116455,1.1120482585075306,0.7448259690162731,0.36722228949125757
122,BrCC1CCOCC1,1.0368947643742217,2.9820001125335693,1.596753716468811,1.9451053481593477,0.5598589520945894,1.3852463960647583
123,BrCC1CO1,2.7555920182297684,1.8459999561309814,1.9805598258972168,0.909592062098787,0.7750321923325516,0.13455986976623535
128,BrCC1OC1(Br)Br,1.3713378124298032,3.6600000858306885,1.2814154624938965,2.2886622734008855,0.08992234993590675,2.198739923464979
131,BrCC1OCC=CCO1,2.192466846334219,4.629000186920166,3.1848933696746826,2.436533340585947,0.9924265233404634,1.4441068172454834
134,BrCC1OO1,2.0989944972889987,2.427000045776367,2.466301441192627,0.3280055484873685,0.3673069439036283,-0.039301395416259766
147,BrCCC[C@H]1CO1,3.5918129315513307,4.188000202178955,1.9886707067489624,0.5961872706276243,1.6031422248023683,-1.006954954174744
149,BrCCOC1CC1,2.764727291113738,2.630000114440918,2.5770747661590576,0.1347271766728202,0.18765252495468054,-0.05292534828186035
152,BrCCOCBr,1.3072683960348432,1.819000005722046,1.3233262300491333,0.5117316096872027,0.016057834014290062,0.4956737756729126
155,BrCC[C@H]1CO1,2.604470148786796,3.811000108718872,2.31351089477539,1.2065299599320762,0.29095925401140565,0.9155707059206706
156,BrCN1C=CSC1,2.7338869439997,3.8259999752044678,1.8412058353424072,1.092113031204768,0.8926811086572926,0.19943192254747544
158,BrCOCOCBr,2.522670114817592,3.9730000495910645,0.961986780166626,1.4503299347734724,1.560683334650966,-0.11035339987749371
175,BrP1NN=CO1,2.269212377811426,4.519999980926514,1.8505957126617432,2.2507876031150875,0.418616665149683,1.8321709379654045
176,BrP1OC=CO1,2.883983459869682,4.816999912261963,3.2298805713653564,1.9330164523922808,0.34589711149567437,1.5871193408966064
178,BrP1OCCO1,3.680051118031249,5.1620001792907715,3.8578555583953857,1.4819490612595225,0.17780444036413678,1.3041446208953857
202,C#CC#CC(=O)C(C)O,3.983984504870082,4.294000148773193,3.7621841430664062,0.3100156439031112,0.2218003618036759,0.0882152820994353
216,C#CC#CC(=O)N1CC1,3.816029036614196,4.489999771118164,3.960916757583618,0.673970734503968,0.14488772096942215,0.5290830135345459
228,C#CC#CC(C#N)CO,2.9708358727744555,4.581999778747559,3.4840643405914307,1.611163905973103,0.5132284678169752,1.097935438156128
235,C#CC#CC(C)=O,3.327977374800323,3.759999990463257,3.609689235687256,0.4320226156629339,0.2817118608869329,0.15031075477600098
249,C#CC#CC(CO)OC,2.071731879549048,1.468999981880188,2.3599839210510254,0.60273189766886,0.28825204150197736,0.3144798561668827
251,C#CC#CC(N)=O,4.008960863501754,4.452000141143799,3.64129090309143,0.4430392776420451,0.3676699604103235,0.07536931723172158
283,C#CC#CC1CC1C#N,4.278533432707063,3.6489999294281006,5.4731855392456055,0.6295335032789628,1.194652106538542,-0.5651186032595792
294,C#CC#CC1COC1=N,2.4322811092826493,2.3940000534057617,2.688464403152466,0.03828105587688757,0.25618329386981653,-0.21790223799292896
