method,screened_fraction,recall_of_true_top10pct
Eight-member fusion,0.01,0.0975
Eight-member fusion,0.014949494949494949,0.145
Eight-member fusion,0.0198989898989899,0.1925
Eight-member fusion,0.02484848484848485,0.24
Eight-member fusion,0.029797979797979796,0.28
Eight-member fusion,0.03474747474747475,0.32
Eight-member fusion,0.039696969696969696,0.3625
Eight-member fusion,0.04464646464646465,0.395
Eight-member fusion,0.049595959595959596,0.425
Eight-member fusion,0.05454545454545454,0.455
Eight-member fusion,0.059494949494949496,0.4825
Eight-member fusion,0.06444444444444444,0.495
Eight-member fusion,0.06939393939393938,0.5175
Eight-member fusion,0.07434343434343434,0.5275
Eight-member fusion,0.07929292929292929,0.5425
Eight-member fusion,0.08424242424242423,0.55
Eight-member fusion,0.08919191919191918,0.5575
Eight-member fusion,0.09414141414141414,0.5725
Eight-member fusion,0.09909090909090908,0.5825
Eight-member fusion,0.10404040404040403,0.5925
Eight-member fusion,0.10898989898989898,0.615
Eight-member fusion,0.11393939393939392,0.6225
Eight-member fusion,0.11888888888888888,0.6325
Eight-member fusion,0.12383838383838383,0.6525
Eight-member fusion,0.12878787878787878,0.66
Eight-member fusion,0.13373737373737374,0.6625
Eight-member fusion,0.1386868686868687,0.6675
Eight-member fusion,0.14363636363636365,0.6725
Eight-member fusion,0.1485858585858586,0.6775
Eight-member fusion,0.15353535353535352,0.685
Eight-member fusion,0.15848484848484848,0.6975
Eight-member fusion,0.16343434343434343,0.7075
Eight-member fusion,0.16838383838383839,0.72
Eight-member fusion,0.17333333333333334,0.725
Eight-member fusion,0.1782828282828283,0.73
Eight-member fusion,0.18323232323232325,0.735
Eight-member fusion,0.18818181818181817,0.74
Eight-member fusion,0.19313131313131313,0.745
Eight-member fusion,0.19808080808080808,0.755
Eight-member fusion,0.20303030303030303,0.7575
Eight-member fusion,0.207979797979798,0.76
Eight-member fusion,0.21292929292929294,0.7675
Eight-member fusion,0.21787878787878787,0.775
Eight-member fusion,0.22282828282828282,0.7775
Eight-member fusion,0.22777777777777777,0.7775
Eight-member fusion,0.23272727272727273,0.79
Eight-member fusion,0.23767676767676768,0.7925
Eight-member fusion,0.24262626262626263,0.7975
Eight-member fusion,0.24757575757575756,0.805
Eight-member fusion,0.2525252525252525,0.8075
Eight-member fusion,0.25747474747474747,0.8075
Eight-member fusion,0.26242424242424245,0.815
Eight-member fusion,0.2673737373737374,0.8225
Eight-member fusion,0.2723232323232323,0.83
Eight-member fusion,0.2772727272727273,0.8375
Eight-member fusion,0.2822222222222222,0.85
Eight-member fusion,0.2871717171717172,0.855
Eight-member fusion,0.2921212121212121,0.86
Eight-member fusion,0.29707070707070704,0.865
Eight-member fusion,0.302020202020202,0.87
Eight-member fusion,0.30696969696969695,0.875
Eight-member fusion,0.31191919191919193,0.8775
Eight-member fusion,0.31686868686868686,0.88
Eight-member fusion,0.32181818181818184,0.885
Eight-member fusion,0.32676767676767676,0.8925
Eight-member fusion,0.3317171717171717,0.8925
Eight-member fusion,0.33666666666666667,0.9025
Eight-member fusion,0.3416161616161616,0.91
Eight-member fusion,0.3465656565656566,0.9175
Eight-member fusion,0.3515151515151515,0.92
Eight-member fusion,0.3564646464646465,0.92
Eight-member fusion,0.3614141414141414,0.92
Eight-member fusion,0.36636363636363634,0.92
Eight-member fusion,0.3713131313131313,0.92
Eight-member fusion,0.37626262626262624,0.92
Eight-member fusion,0.3812121212121212,0.92
Eight-member fusion,0.38616161616161615,0.925
Eight-member fusion,0.3911111111111111,0.925
Eight-member fusion,0.39606060606060606,0.93
Eight-member fusion,0.401010101010101,0.935
Eight-member fusion,0.40595959595959596,0.9375
Eight-member fusion,0.4109090909090909,0.94
Eight-member fusion,0.41585858585858587,0.9425
Eight-member fusion,0.4208080808080808,0.9425
Eight-member fusion,0.4257575757575757,0.9425
Eight-member fusion,0.4307070707070707,0.945
Eight-member fusion,0.43565656565656563,0.945
Eight-member fusion,0.4406060606060606,0.945
Eight-member fusion,0.44555555555555554,0.95
Eight-member fusion,0.4505050505050505,0.95
Eight-member fusion,0.45545454545454545,0.95
Eight-member fusion,0.46040404040404037,0.95
Eight-member fusion,0.46535353535353535,0.9525
Eight-member fusion,0.4703030303030303,0.9575
Eight-member fusion,0.47525252525252526,0.96
Eight-member fusion,0.4802020202020202,0.96
Eight-member fusion,0.4851515151515151,0.9625
Eight-member fusion,0.4901010101010101,0.9625
Eight-member fusion,0.495050505050505,0.9625
Eight-member fusion,0.5,0.9625
Equivariant vector,0.01,0.0925
Equivariant vector,0.014949494949494949,0.1375
Equivariant vector,0.0198989898989899,0.18
Equivariant vector,0.02484848484848485,0.22
Equivariant vector,0.029797979797979796,0.26
Equivariant vector,0.03474747474747475,0.3
Equivariant vector,0.039696969696969696,0.34
Equivariant vector,0.04464646464646465,0.3775
Equivariant vector,0.049595959595959596,0.41
Equivariant vector,0.05454545454545454,0.44
Equivariant vector,0.059494949494949496,0.4675
Equivariant vector,0.06444444444444444,0.4875
Equivariant vector,0.06939393939393938,0.5075
Equivariant vector,0.07434343434343434,0.53
Equivariant vector,0.07929292929292929,0.555
Equivariant vector,0.08424242424242423,0.5675
Equivariant vector,0.08919191919191918,0.58
Equivariant vector,0.09414141414141414,0.595
Equivariant vector,0.09909090909090908,0.6125
Equivariant vector,0.10404040404040403,0.625
Equivariant vector,0.10898989898989898,0.64
Equivariant vector,0.11393939393939392,0.645
Equivariant vector,0.11888888888888888,0.65
Equivariant vector,0.12383838383838383,0.66
Equivariant vector,0.12878787878787878,0.665
Equivariant vector,0.13373737373737374,0.6675
Equivariant vector,0.1386868686868687,0.6775
Equivariant vector,0.14363636363636365,0.6825
Equivariant vector,0.1485858585858586,0.69
Equivariant vector,0.15353535353535352,0.7
Equivariant vector,0.15848484848484848,0.705
Equivariant vector,0.16343434343434343,0.715
Equivariant vector,0.16838383838383839,0.73
Equivariant vector,0.17333333333333334,0.735
Equivariant vector,0.1782828282828283,0.7425
Equivariant vector,0.18323232323232325,0.745
Equivariant vector,0.18818181818181817,0.7475
Equivariant vector,0.19313131313131313,0.7525
Equivariant vector,0.19808080808080808,0.755
Equivariant vector,0.20303030303030303,0.76
Equivariant vector,0.207979797979798,0.7625
Equivariant vector,0.21292929292929294,0.765
Equivariant vector,0.21787878787878787,0.765
Equivariant vector,0.22282828282828282,0.7725
Equivariant vector,0.22777777777777777,0.7775
Equivariant vector,0.23272727272727273,0.7775
Equivariant vector,0.23767676767676768,0.7825
Equivariant vector,0.24262626262626263,0.785
Equivariant vector,0.24757575757575756,0.795
Equivariant vector,0.2525252525252525,0.8
Equivariant vector,0.25747474747474747,0.8025
Equivariant vector,0.26242424242424245,0.8075
Equivariant vector,0.2673737373737374,0.81
Equivariant vector,0.2723232323232323,0.81
Equivariant vector,0.2772727272727273,0.8125
Equivariant vector,0.2822222222222222,0.8175
Equivariant vector,0.2871717171717172,0.8175
Equivariant vector,0.2921212121212121,0.825
Equivariant vector,0.29707070707070704,0.8275
Equivariant vector,0.302020202020202,0.8275
Equivariant vector,0.30696969696969695,0.8275
Equivariant vector,0.31191919191919193,0.83
Equivariant vector,0.31686868686868686,0.83
Equivariant vector,0.32181818181818184,0.8325
Equivariant vector,0.32676767676767676,0.84
Equivariant vector,0.3317171717171717,0.845
Equivariant vector,0.33666666666666667,0.85
Equivariant vector,0.3416161616161616,0.855
Equivariant vector,0.3465656565656566,0.86
Equivariant vector,0.3515151515151515,0.86
Equivariant vector,0.3564646464646465,0.8625
Equivariant vector,0.3614141414141414,0.87
Equivariant vector,0.36636363636363634,0.8725
Equivariant vector,0.3713131313131313,0.8725
Equivariant vector,0.37626262626262624,0.8725
Equivariant vector,0.3812121212121212,0.8775
Equivariant vector,0.38616161616161615,0.88
Equivariant vector,0.3911111111111111,0.8825
Equivariant vector,0.39606060606060606,0.8925
Equivariant vector,0.401010101010101,0.895
Equivariant vector,0.40595959595959596,0.895
Equivariant vector,0.4109090909090909,0.9
Equivariant vector,0.41585858585858587,0.9025
Equivariant vector,0.4208080808080808,0.905
Equivariant vector,0.4257575757575757,0.905
Equivariant vector,0.4307070707070707,0.9075
Equivariant vector,0.43565656565656563,0.9075
Equivariant vector,0.4406060606060606,0.91
Equivariant vector,0.44555555555555554,0.915
Equivariant vector,0.4505050505050505,0.915
Equivariant vector,0.45545454545454545,0.915
Equivariant vector,0.46040404040404037,0.915
Equivariant vector,0.46535353535353535,0.915
Equivariant vector,0.4703030303030303,0.915
Equivariant vector,0.47525252525252526,0.92
Equivariant vector,0.4802020202020202,0.92
Equivariant vector,0.4851515151515151,0.92
Equivariant vector,0.4901010101010101,0.92
Equivariant vector,0.495050505050505,0.925
Equivariant vector,0.5,0.9275
XGBoost rank,0.01,0.1
XGBoost rank,0.014949494949494949,0.15
XGBoost rank,0.0198989898989899,0.1875
XGBoost rank,0.02484848484848485,0.23
XGBoost rank,0.029797979797979796,0.2675
XGBoost rank,0.03474747474747475,0.3075
XGBoost rank,0.039696969696969696,0.3425
XGBoost rank,0.04464646464646465,0.375
XGBoost rank,0.049595959595959596,0.3975
XGBoost rank,0.05454545454545454,0.4175
XGBoost rank,0.059494949494949496,0.435
XGBoost rank,0.06444444444444444,0.46
XGBoost rank,0.06939393939393938,0.47
XGBoost rank,0.07434343434343434,0.4925
XGBoost rank,0.07929292929292929,0.5175
XGBoost rank,0.08424242424242423,0.5275
XGBoost rank,0.08919191919191918,0.5475
XGBoost rank,0.09414141414141414,0.555
XGBoost rank,0.09909090909090908,0.5675
XGBoost rank,0.10404040404040403,0.575
XGBoost rank,0.10898989898989898,0.5825
XGBoost rank,0.11393939393939392,0.595
XGBoost rank,0.11888888888888888,0.605
XGBoost rank,0.12383838383838383,0.6175
XGBoost rank,0.12878787878787878,0.6225
XGBoost rank,0.13373737373737374,0.6325
XGBoost rank,0.1386868686868687,0.64
XGBoost rank,0.14363636363636365,0.645
XGBoost rank,0.1485858585858586,0.6475
XGBoost rank,0.15353535353535352,0.6525
XGBoost rank,0.15848484848484848,0.6525
XGBoost rank,0.16343434343434343,0.6575
XGBoost rank,0.16838383838383839,0.665
XGBoost rank,0.17333333333333334,0.67
XGBoost rank,0.1782828282828283,0.675
XGBoost rank,0.18323232323232325,0.6775
XGBoost rank,0.18818181818181817,0.685
XGBoost rank,0.19313131313131313,0.69
XGBoost rank,0.19808080808080808,0.6975
XGBoost rank,0.20303030303030303,0.71
XGBoost rank,0.207979797979798,0.7175
XGBoost rank,0.21292929292929294,0.7175
XGBoost rank,0.21787878787878787,0.7175
XGBoost rank,0.22282828282828282,0.7225
XGBoost rank,0.22777777777777777,0.7225
XGBoost rank,0.23272727272727273,0.73
XGBoost rank,0.23767676767676768,0.7375
XGBoost rank,0.24262626262626263,0.74
XGBoost rank,0.24757575757575756,0.74
XGBoost rank,0.2525252525252525,0.75
XGBoost rank,0.25747474747474747,0.7525
XGBoost rank,0.26242424242424245,0.755
XGBoost rank,0.2673737373737374,0.76
XGBoost rank,0.2723232323232323,0.7625
XGBoost rank,0.2772727272727273,0.7675
XGBoost rank,0.2822222222222222,0.7725
XGBoost rank,0.2871717171717172,0.78
XGBoost rank,0.2921212121212121,0.785
XGBoost rank,0.29707070707070704,0.7925
XGBoost rank,0.302020202020202,0.7975
XGBoost rank,0.30696969696969695,0.8
XGBoost rank,0.31191919191919193,0.8
XGBoost rank,0.31686868686868686,0.805
XGBoost rank,0.32181818181818184,0.8075
XGBoost rank,0.32676767676767676,0.8175
XGBoost rank,0.3317171717171717,0.8225
XGBoost rank,0.33666666666666667,0.83
XGBoost rank,0.3416161616161616,0.835
XGBoost rank,0.3465656565656566,0.84
XGBoost rank,0.3515151515151515,0.8475
XGBoost rank,0.3564646464646465,0.8525
XGBoost rank,0.3614141414141414,0.855
XGBoost rank,0.36636363636363634,0.86
XGBoost rank,0.3713131313131313,0.865
XGBoost rank,0.37626262626262624,0.8725
XGBoost rank,0.3812121212121212,0.88
XGBoost rank,0.38616161616161615,0.88
XGBoost rank,0.3911111111111111,0.885
XGBoost rank,0.39606060606060606,0.8875
XGBoost rank,0.401010101010101,0.8925
XGBoost rank,0.40595959595959596,0.895
XGBoost rank,0.4109090909090909,0.9
XGBoost rank,0.41585858585858587,0.905
XGBoost rank,0.4208080808080808,0.9125
XGBoost rank,0.4257575757575757,0.915
XGBoost rank,0.4307070707070707,0.915
XGBoost rank,0.43565656565656563,0.9175
XGBoost rank,0.4406060606060606,0.925
XGBoost rank,0.44555555555555554,0.925
XGBoost rank,0.4505050505050505,0.9275
XGBoost rank,0.45545454545454545,0.93
XGBoost rank,0.46040404040404037,0.93
XGBoost rank,0.46535353535353535,0.9325
XGBoost rank,0.4703030303030303,0.9375
XGBoost rank,0.47525252525252526,0.9375
XGBoost rank,0.4802020202020202,0.9375
XGBoost rank,0.4851515151515151,0.9425
XGBoost rank,0.4901010101010101,0.9425
XGBoost rank,0.495050505050505,0.9525
XGBoost rank,0.5,0.955
LightGBM rank,0.01,0.1
LightGBM rank,0.014949494949494949,0.15
LightGBM rank,0.0198989898989899,0.1975
LightGBM rank,0.02484848484848485,0.24
LightGBM rank,0.029797979797979796,0.28
LightGBM rank,0.03474747474747475,0.3175
LightGBM rank,0.039696969696969696,0.3475
LightGBM rank,0.04464646464646465,0.3825
LightGBM rank,0.049595959595959596,0.405
LightGBM rank,0.05454545454545454,0.4325
LightGBM rank,0.059494949494949496,0.445
LightGBM rank,0.06444444444444444,0.48
LightGBM rank,0.06939393939393938,0.4925
LightGBM rank,0.07434343434343434,0.51
LightGBM rank,0.07929292929292929,0.525
LightGBM rank,0.08424242424242423,0.5375
LightGBM rank,0.08919191919191918,0.5525
LightGBM rank,0.09414141414141414,0.5575
LightGBM rank,0.09909090909090908,0.57
LightGBM rank,0.10404040404040403,0.575
LightGBM rank,0.10898989898989898,0.59
LightGBM rank,0.11393939393939392,0.59
LightGBM rank,0.11888888888888888,0.6
LightGBM rank,0.12383838383838383,0.6125
LightGBM rank,0.12878787878787878,0.6175
LightGBM rank,0.13373737373737374,0.6225
LightGBM rank,0.1386868686868687,0.625
LightGBM rank,0.14363636363636365,0.6325
LightGBM rank,0.1485858585858586,0.6425
LightGBM rank,0.15353535353535352,0.6425
LightGBM rank,0.15848484848484848,0.655
LightGBM rank,0.16343434343434343,0.665
LightGBM rank,0.16838383838383839,0.675
LightGBM rank,0.17333333333333334,0.6825
LightGBM rank,0.1782828282828283,0.685
LightGBM rank,0.18323232323232325,0.7025
LightGBM rank,0.18818181818181817,0.7075
LightGBM rank,0.19313131313131313,0.7125
LightGBM rank,0.19808080808080808,0.7125
LightGBM rank,0.20303030303030303,0.715
LightGBM rank,0.207979797979798,0.7225
LightGBM rank,0.21292929292929294,0.7225
LightGBM rank,0.21787878787878787,0.73
LightGBM rank,0.22282828282828282,0.73
LightGBM rank,0.22777777777777777,0.73
LightGBM rank,0.23272727272727273,0.735
LightGBM rank,0.23767676767676768,0.74
LightGBM rank,0.24262626262626263,0.7475
LightGBM rank,0.24757575757575756,0.755
LightGBM rank,0.2525252525252525,0.7575
LightGBM rank,0.25747474747474747,0.76
LightGBM rank,0.26242424242424245,0.7675
LightGBM rank,0.2673737373737374,0.7725
LightGBM rank,0.2723232323232323,0.78
LightGBM rank,0.2772727272727273,0.785
LightGBM rank,0.2822222222222222,0.79
LightGBM rank,0.2871717171717172,0.79
LightGBM rank,0.2921212121212121,0.795
LightGBM rank,0.29707070707070704,0.8025
LightGBM rank,0.302020202020202,0.8075
LightGBM rank,0.30696969696969695,0.81
LightGBM rank,0.31191919191919193,0.81
LightGBM rank,0.31686868686868686,0.8125
LightGBM rank,0.32181818181818184,0.8225
LightGBM rank,0.32676767676767676,0.8275
LightGBM rank,0.3317171717171717,0.83
LightGBM rank,0.33666666666666667,0.83
LightGBM rank,0.3416161616161616,0.8375
LightGBM rank,0.3465656565656566,0.8425
LightGBM rank,0.3515151515151515,0.8475
LightGBM rank,0.3564646464646465,0.8575
LightGBM rank,0.3614141414141414,0.865
LightGBM rank,0.36636363636363634,0.8675
LightGBM rank,0.3713131313131313,0.8725
LightGBM rank,0.37626262626262624,0.875
LightGBM rank,0.3812121212121212,0.8775
LightGBM rank,0.38616161616161615,0.8775
LightGBM rank,0.3911111111111111,0.8775
LightGBM rank,0.39606060606060606,0.885
LightGBM rank,0.401010101010101,0.885
LightGBM rank,0.40595959595959596,0.8875
LightGBM rank,0.4109090909090909,0.89
LightGBM rank,0.41585858585858587,0.89
LightGBM rank,0.4208080808080808,0.895
LightGBM rank,0.4257575757575757,0.8975
LightGBM rank,0.4307070707070707,0.9
LightGBM rank,0.43565656565656563,0.905
LightGBM rank,0.4406060606060606,0.9075
LightGBM rank,0.44555555555555554,0.91
LightGBM rank,0.4505050505050505,0.915
LightGBM rank,0.45545454545454545,0.9175
LightGBM rank,0.46040404040404037,0.9225
LightGBM rank,0.46535353535353535,0.925
LightGBM rank,0.4703030303030303,0.93
LightGBM rank,0.47525252525252526,0.935
LightGBM rank,0.4802020202020202,0.9375
LightGBM rank,0.4851515151515151,0.94
LightGBM rank,0.4901010101010101,0.945
LightGBM rank,0.495050505050505,0.9475
LightGBM rank,0.5,0.95
