column_index,column_name,column_role,feature_block,dtype,unit,description,source,missing_value_encoding,missing_count,missing_fraction,selected_final_D_tabular,selected_final_D_xgboost,selected_final_P_lightgbm
1,domain_index,identifier_or_metadata,metadata_or_label,int64,descriptor_specific_or_dimensionless,Electrolyte-65K structure-group identifier; repeated QMe14S records may share this value,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
2,qme14s_index,identifier_or_metadata,metadata_or_label,int64,descriptor_specific_or_dimensionless,Source record index in QMe14S,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
3,h5_key,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Source QMe14S HDF5 record key,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
4,canonical_smiles,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Canonical molecular SMILES,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
5,formula,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Molecular formula,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
6,elements,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Elements present in the molecule,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
7,primary_motif,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Primary electrolyte-relevant functional motif,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
8,element_group,identifier_or_metadata,metadata_or_label,object,descriptor_specific_or_dimensionless,Element-composition group,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
9,heavy_atoms,identifier_or_metadata,metadata_or_label,int64,count,Number of non-hydrogen atoms,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
10,mol_wt,identifier_or_metadata,metadata_or_label,float64,descriptor_specific_or_dimensionless,Molecular weight,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
11,rotatable_bonds,identifier_or_metadata,metadata_or_label,int64,count,Number of rotatable bonds,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
12,ring_count,identifier_or_metadata,metadata_or_label,int64,count,Number of rings,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
13,cv_fold,split,metadata_or_label,int8,descriptor_specific_or_dimensionless,Frozen cross-validation fold identifier (0-4),QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
14,D,label,metadata_or_label,float64,debye,QMe14S reference dipole magnitude,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
15,P,label,metadata_or_label,float64,atomic_unit,QMe14S reference molecular polarizability,QMe14S / Electrolyte-65K split metadata,empty field in CSV,0,0,False,False,False
16,cheap__v3__heavy_atoms_calc,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__heavy_atoms_calc,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,True
17,cheap__v3__mol_wt_calc,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__mol_wt_calc,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
18,cheap__v3__exact_mol_wt,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__exact_mol_wt,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
19,cheap__v3__rotatable_bonds_calc,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rotatable_bonds_calc,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
20,cheap__v3__ring_count_calc,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__ring_count_calc,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
21,cheap__v3__aromatic_rings,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__aromatic_rings,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
22,cheap__v3__aliphatic_rings,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__aliphatic_rings,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
23,cheap__v3__tpsa,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__tpsa,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
24,cheap__v3__hba,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__hba,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
25,cheap__v3__hbd,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__hbd,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
26,cheap__v3__mol_logp,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__mol_logp,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
27,cheap__v3__mol_mr,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__mol_mr,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
28,cheap__v3__fraction_csp3,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__fraction_csp3,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
29,cheap__v3__hetero_atom_count,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__hetero_atom_count,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
30,cheap__v3__count_C,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_C,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
31,cheap__v3__count_N,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_N,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
32,cheap__v3__count_O,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_O,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
33,cheap__v3__count_F,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_F,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
34,cheap__v3__count_Si,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_Si,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
35,cheap__v3__count_P,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_P,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
36,cheap__v3__count_S,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_S,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
37,cheap__v3__count_Cl,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_Cl,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
38,cheap__v3__count_Br,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,count,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__count_Br,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
39,cheap__v3__gasteiger_ok,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gasteiger_ok,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
40,cheap__v3__gast_min,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_min,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
41,cheap__v3__gast_max,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_max,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
42,cheap__v3__gast_mean,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_mean,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
43,cheap__v3__gast_std,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_std,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
44,cheap__v3__gast_abs_sum,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_abs_sum,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
45,cheap__v3__gast_pos_sum,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_pos_sum,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
46,cheap__v3__gast_neg_sum,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_neg_sum,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
47,cheap__v3__gast_range,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast_range,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
48,cheap__v3__etkdg_ok,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__etkdg_ok,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
49,cheap__v3__mmff_ok,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__mmff_ok,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
50,cheap__v3__geom_radius_gyration,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,angstrom_or_derived,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_radius_gyration,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,True
51,cheap__v3__geom_pmi1,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_pmi1,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
52,cheap__v3__geom_pmi2,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_pmi2,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
53,cheap__v3__geom_pmi3,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_pmi3,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
